LeftFrontAnkle_Speed,LeftFrontAnkle_Accel,LeftFrontKnee_Speed,LeftFrontKnee_Accel,LeftFrontHip_Speed,LeftFrontHip_Accel,LeftMidAnkle_Speed,LeftMidAnkle_Accel,LeftMidKnee_Speed,LeftMidKnee_Accel,LeftMidHip_Speed,LeftMidHip_Accel,LeftRearAnkle_Speed,LeftRearAnkle_Accel,LeftRearKnee_Speed,LeftRearKnee_Accel,LeftRearHip_Speed,LeftRearHip_Accel,LeftWingRaise_Speed,LeftWingRaise_Accel
-20,95,-20,95,-20,95,-20,95,-20,95,-20,95,-20,95,-20,95,-20,95,-20,95
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
